"Поле отчета"	"Поле Б24"	"Формула расчета"	"Пример заполнения"	"Комментарий"
"Номер сделки"	"ID сделки"		"2843"	
"Название сделки"	"Название сделки"		"Сделка #2843"	
"Лид"	"ID лида"		"176"	
"% участия агента в продаже"	"Вкладка ""Участие агентов"""	"Рассчитывается сумма согласно % участия каждого агента от суммы сделки"	"Молочникова Дарья=34679.39"	"вкладка в сделке"
"Дата создания сделки"	"Дата сохранения сделки в Б24"		"25.04.2023"	
"Статус сделки"	"Стадия сделки"		"Поиск вариантов"	"Стадия сделки на момент выгрузки отчета"
"Ответственное лицо"	"Автор сделки"		"Молочникова Дарья"	
"Тип клиента"	"Тип клиента"		"Universal"	"Тип клиента на вкладке Общее в карточке клиента"
"Клиент"	"ФИО клиента"		"Иванов Иван Иванович"	
"ID клиента"	"Идентификатор клиента КС"		"3532912"	"Поле ""Идентификатор клиента КС"" на вкладке Общее в карточке клиента"
"Дата создания фин.карты"	"Дата создания"		"25.04.2023"	"Дата создания в фин.карте сделки"
"Создатель карты"	"Автор финансовой карты"		"Молочникова Дарья"	
"Дата платы клиентом"	"Дата последнего платежа"		"25.04.2023"	"Дата списания последнего авансового платежа из Истории входящих платежей в фин.карте"
"Тип карты"	"Тип карты"		"Аэрофлот"	"Если списан платеж - указывается тип карты списания (несколько, если было несколько списаний)
Если один из платежей имеет тип оплаты по ссылке, то в тип карты будет установлено значение ""Ссылка"".
Если в сделке ФК не создана, то в поле ""Тип карты"" подтягивается маркетинговое название карты. тянется из основных карт. Если в основных 2 и более карты, то подтягивается первая в списке. Если основная карта неактвина, то ничего не подтягивается"
"Дата отмена операции (возврат)"	"Дата отмены"		"25.04.2023"	"Дата отмены операции из карты возврата"
"Дата возврата"	"Дата транзакции возврата"		"25.04.2023"	"Дата успешной транзакции возврата.
Пустое значение, если нет успешной транзакции возврата в истории платежей."
"Партнер"	"Наименование партнера"		"1С Бухгалтерия Тест проводок"	"Наименование партнера с подтвержденным предложением из вкладки Предложения"
"Количество броней (1)"	"1"		"1"	"Всегда 1"
"Тип брони"	"Тип партнера"		"Отель"	"""Тип партнера"" на вкладке Общее в карточке партнера"
"Страна"	"Страна"		"Россия"	"вкладка Общее поле ""Финальная страна"""
"Город"	"Город"		"Москва"	"вкладка Общее поле ""Финальная страна"""
"Гостиница"	"Гостиница"		"LOTTE HOTEL MOSCOW"	"вкладка Общее,"
"Ресторан"	"Ресторан"		"Миндаль"	"вкладка Общее"
"Полное наименование организации"	"Полное наименование"		"ООО ""Скайвотерлэнд"""	"Из карточки партнера"
"Цепочка"	"Цепочка"			"вкладка Общее"
"Дата заезда"	"Дата заезда"		"22.04.2023"	"вкладка Общее"
"Дата выезда"	"Дата выезда"		"28.04.2023"	"вкладка Общее"
"Количество ночей"	"Количество ночей"		"6"	"Вкладка Общее в сделке"
"Количество номеров"	"Количество номеров"		"2"	"Вкладка Общее в сделке со стадии Оформление финансов"
"Общее количество ночей"	"Общее количество ночей"		"20"	"Вкладка Общее в сделке"
"Категория"	"Тип сделки"		"Отель"	
"Канал связи"	"Откуда получен запрос"		"Социальные сети"	"Вкладка Общее в сделке"
"Маркетинговый канал"	"Маркетинговый канал"		"Да (продажа, услуга партнера осуществлена)"	"""Маркетинговый канал"" на вкладке Общее в сделке и выгружается в отчет"
"Итого оплачено клиентом"		"Сумма всех успешных списаний в сделке"	"34698,26"	"Сумма всех успешных списаний в рублях из вкладки Финансовая карточка в сделке"
"Дата отложенной оплаты"	"Дата отложенной оплаты"		"13.07.2023"	"Дата отложенной оплаты из вкладки Финансовая карточка в сделке"
"Валюта отложенной оплаты"	"Валюта"		"EUR"	"Поле валюта из блока ""Отложенная оплата"" на вкладке Финансовая карточка сделки"
"Сумма отложенной оплаты, руб"	"Сумма в рублях"		"206000"	"Поле ""Сумма в рублях"" из блока ""Отложенная оплата"" на вкладке Финансовая карточка"
"Сумма отложенной оплаты, вал"	"Сумма в выбранной валюте"		"2000"	"Поле ""Сумма в выбранной валюте"" из блока ""Отложенная оплата"" на вкладке Финансовая карточка"
"Оплата поставщику"	"Всего к оплате поставщику"	"Валютная сделка:
Всего к оплате поставщику * курс сделки на дату платежа (средний курс платежей, если несколько)"	"23569,25"	
"Прибыль"		"Рублевая сделка:
Сумма продажи - НЕТТО в рублях Валютная сделка:
Сумма продажи - НЕТТО в рублях"	"23569,26"	"Расчетное поле"
"Статус карты возврата"	"Статус карты возврата"		"Ожидание заявления от клиента"	"Из карты возврата"
"Сумма возврата поставщиком"	"Сумма возврата поставщиком"		"-1250,26"	"Из карты возврата"
"Штраф от поставщика"	"Штраф от поставщика"		"1350,36"	"Из карты возврата"
"Сбор поставщика за возврат"	"Сбор поставщика за возврат"		"2569,23"	"Из карты возврата"
"Продукты за сбор возврата"	"Продукты за сбор возврата"		"258,23"	"Из карты возврата"
"Штраф клиенту РС ТЛС"	"Штраф клиенту РС ТЛС"		"6932,25"	"Из карты возврата"
"Возврат сбора РС ТЛС"	"Возврат сбора РС ТЛС"		"2350,98"	"Из карты возврата"
"Остаток сбора РС ТЛС"	"Остаток сбора РС ТЛС"		"3569,12"	"Из карты возврата"
"Прибыль РС ТЛС с учетом возврата"		"Штраф клиенту РСТЛС + Остаток сбора РС ТЛС"	"-150,26"	"Расчетное поле"
"Удержал поставщик"		"Штраф от поставщика + Сбор поставщика на возврат"	"4589,23"	"Расчетное поле"
"Сумма возврата клиенту"	"Возврат на карту"		"7892,23"	"Из карты возврата"
"Прибыль без НДС"		"Если:
оказание услуг + Без НДС/0%, то равно полю Прибыль
оказание услуг + 10/22%, то Прибыль/1,22
все другие схемы всегда Прибыль/1,22"	"4592,36"	"Расчетное поле
Рассчитывается, если поле ""Прибыль"" имеет значение >0"
"Сумма прибыли с учетом возврата без НДС"		"Возврата нет = Прибыль без НДС
100% возврат = 0
Частичный возврат(коррекция) = Прибыль РС ТЛС с учетом возврата - Прибыль РС ТЛС с учетом возврата/1,22"		"Расчетное поле"
"Комиссия"	"Комиссия"	"В валютных сделках:
Комиссия * курс ЦБ (средний курс ЦБ, если в разные дни платежи)"	"235,25"	"Из фин.карты"
"Комиссия без НДС"		"Комиссия / 1,22"	"356,258"	"Расчетное поле"
"Дополнительная выгода"	"Дополнительная выгода"	"В валютных сделках:
Дополнительная выгода * курс сделки на дату платежа (среднему курсу платежей)"	"23589,26"	"Из фин.карты"
"Дополнительная выгода без НДС"		"Дополнительная выгода / 1,22"		"Расчетное поле"
"Сервисный сбор"	"Сервисный сбор"	"В валютных сделках:
Сервисный сбор * курс сделки на дату платежа (среднему курсу платежей)"		"Из фин.карты"
"Сервисный сбор без НДС"		"Сервисный сбор / 1,22"		"Расчетное поле"
"НЕТТО в валюте поставщика"	"Сумма по счету поставщика НЕТТО"			"Из фин.карты в валюте сделки"
"БРУТТО в валюте поставщика"	"Сумма по счету поставщика БРУТТО"			"ИЗ фин.карты в валюте сделки"
"Комиссия поставщика в валюте"	"Комиссия"			"Из фин.карты в валюте сделки"
"НЕТТО в рублях"		"В валютных сделках:
(Сумма по счету поставщика НЕТТО + Сбор поставщика) * курс ЦБ (средний курс ЦБ)
В рублевых сделках:
Сумма по счету поставщика НЕТТО + Сбор поставщика"		"Расчетное поле"
"Курс оплаты ЦБ"		"Курс ЦБ - чистый курс ЦБ РФ на дату проведения платежа (успешная оплата от клиента)
Средний курс ЦБ = сумма курсов ЦБ РФ в дни платежей / количество платежей"	"99,5609"	"Расчетное поле"
"Валюта сделки"	"Валюта"		"RUB"	"валюта фин.карты"
"Сумма НДС"		"(Комиссия - Комиссия без НДС) + (Дополнительная выгода - Дополнительная выгода без НДС) + (Сервисный сбор - Сервисный сбор без НДС)"		"Расчетное поле
Считаются округленные значения"
"Путешественник"	"Путешественник"			"вкладка Общее сделки"
"SR"	"Итого оплачено клиентом"		"25836,26"	"в руб, если схема оказания услуг Агент поставщика SR"
"Сумма TID"				"пока пустое"
"LR"	"Итого оплачено клиентом"		"14852,36"	"в руб, если схема оказания услуг Агент поставщика LR"
"Сумма продажи"	"Всего к оплате клиенту"	"В валютных сделках:
Всего к оплате клиенту * на курс сделки на дату платежа (на средний курс платежей, если несколько)"		"Из фин.карты"
"Тип запроса"	"Тип запроса"		"Lifestyle"	"Вкладка Общее в сделке"
"Связанные сделки"				"Номера связанных сделок"
"Тур"			"да"	"1. Если в столбце ""Категория"" значение ""Экскурсия"" и в столбце ""Связанные сделки"" найдено значение ""Круиз"" или ""Отель"", то в столбец ""Тур"" устанавливаем значение ""Да"";
2. Если в столбце ""Категория"" значение ""Круиз"", то в столбец ""Тур"" устанавливаем значение""Да"";
3. Если в столбце ""Категория"" значение ""Отель"" и в столбце ""Связанные сделки"" найдено значение ""Экскурсия"" или ""Круиз"", то в столбец ""Тур"" устанавливаем значение ""Да"". 
4. Если в столбце ""Связанные сделки"" найдено значение ""Круиз"" или (""Экскурсия"" и ""Отель""), то в столбец ""Тур"" устанавливаем значение ""Да""."
"Номер счета"	"Номер счета"			"Из фин.карты"
"Тип оплаты"	"Тип оплаты"		"Баллы"	"Вкладка Общее в сделке"
"Дата оказания услуги"	"Дата оказания услуги"		"25.04.2023"	"=ГИПЕРССЫЛКА(""https://vm-wiki02.rs.ru/pages/viewpage.action?pageId=105617801"";""Дата и время оказания услуги в зависимости от типа сделки (согласно описанию даты оказания услуги в Дата оказания услуг)"")"
"Сумма продажи после возврата"		"Сумма всех входящих платежей - сумма транзакций возврата в сделке в руб."		"Расчетное поле"
"Депозит"				"пока не заполняется"
"Баллы АХ"				"пока не заполняется"
"Баллы IMP"				"пока не заполняется"
"Безнал"				"пока не заполняется"
"Карта"				"пока не заполняется"
"Сертификат"				"пока не заполняется"
"Убыток на компанию"				"пока не заполняется"
"Убыток на сотрудника"				"пока не заполняется"
"Код FHR"				"пока не заполняется"
"Класс"				"пока не заполняется"
"Пассажир"				"пока не заполняется"
"Дата вылета"				"пока не заполняется"
"Дата прилета"				"пока не заполняется"
"Авиакомпания"				"пока не заполняется"
"Страна прилета (Конечная точка)"				"пока не заполняется"
"Город прилета (Конечная точка)"				"пока не заполняется"
"Привилегии"	"Программа привилегий"		"нет"	"Наличие программы привилегий на вкладке Общее в карточке партнера"
"Наличие договора"	"Договор"		"да"	"Наличие договора у партнера на вкладке Общее в карточке партнера"
"Результат сделки"	"Стадия сделки"		"Успех"	"Конечная стадия сделки"
"Причина стадии Сделка проиграна"	"Причина"		"Отказ клиента"	"Указанная причина при закрытии сделки"
"Количество сегментов"				"пока не заполняется"
"Дата оплаты партнеру (поставщику)"	"Дата оплаты"		"25.04.2023"	"Из фин.карты"
"Комментарий тимлидеру"				
"Кросс-продажа"	"Кросс-продажа"		"Да"	"Вкладка Общее в сделке"
"Кросс-продажа причина"	"Причина"			"Вкладка Общее в сделке"
"Схема финансовой карты"	"Тип фин.карты"		"Агент покупателя"	"Выбранная схема оказания услуг при создании фин.карты"
"Дата начала"	"Дата начала/Дата заезда/С"		"20.04.2023"	"Поля дат начала услуги по типам сделок"
"Дата окончания"	"Дата окончания/Дата выезда/До"		"25.04.2023"	"Поля дат окончания услуги по типам сделок"
"Менеджер"	"Менеджер"		"Назарова Екатерина Юрьевна"	"ФИО менеджера создавшего сделку, подтягивается из вкладки Справочник - Менеджеры - Менеджер банка"
"Дата завершения"	"Дата завершения"		"01.01.2024"	"Дата завершённой сделки, статус которой подтвердился нажатием на кнопку ""Успех"""
